TOW,OSNMA40,source_prn,is_zero_fill,reason
303037,0000000000000000000000000000000000000000,,true,no_available_osnma
303039,0000000000000000000000000000000000000000,,true,no_available_osnma
303041,0000000000000000000000000000000000000000,,true,no_available_osnma
303043,0000000000000000000000000000000000000000,,true,no_available_osnma
303045,0000000000000000000000000000000000000000,,true,no_available_osnma
303047,0000000000000000000000000000000000000000,,true,no_available_osnma
303049,0000000000000000000000000000000000000000,,true,no_available_osnma
303051,0000000000000000000000000000000000000000,,true,no_available_osnma
303053,0000000000000000000000000000000000000000,,true,no_available_osnma
303055,0000000000000000000000000000000000000000,,true,no_available_osnma
303057,0011011000110100010101100001101011010000,34,false,switch_source
303059,1000111011111111110011000000000000000000,34,false,use_existing_source
303061,1001001011101001000101110101101011000101,34,false,use_existing_source
303063,1101100001100000110001010000111111111001,34,false,use_existing_source
303065,0001001001111110111101100111010010011000,34,false,use_existing_source
303067,1001001000011011000011111010000100111011,34,false,use_existing_source
303069,1001011110111101010001000001000000100010,34,false,use_existing_source
303071,1001111001001111100011111111100111101111,34,false,use_existing_source
303073,0101101100001100111101000000100100001111,34,false,use_existing_source
303075,1000110111001111001010100001000011101100,34,false,use_existing_source
303077,0000010000011010001000101100111101010111,34,false,use_existing_source
303079,0101011110000111111101011011010010010001,34,false,use_existing_source
303081,1000011100000110000011111001100001011001,34,false,use_existing_source
303083,1111101000011111000100010100101001011111,34,false,use_existing_source
303085,1001011000101101000010100000000111011001,34,false,use_existing_source
303087,0111110011110010100000100001010110010100,34,false,use_existing_source
303089,0101011101111110110101100000000000000000,34,false,use_existing_source
303091,1001001000001001111100101110011111001000,34,false,use_existing_source
303093,1101100101011011000100001111000100010111,34,false,use_existing_source
303095,1100110001011000101011100010101101101111,34,false,use_existing_source
303097,0010001100001011000011110110000110100101,34,false,use_existing_source
303099,0110001110000011110001000010111000011011,34,false,use_existing_source
303101,1000101000001111000000111111111110101110,34,false,use_existing_source
303103,0011000000100111101110100010001011000001,34,false,use_existing_source
303105,0010001101010101001011110001101111001001,34,false,use_existing_source
303107,0111011001000111000010010000111111111000,34,false,use_existing_source
303109,0001010011101001001001011111100010010101,34,false,use_existing_source
303111,1110110100011011110011111110011011101101,34,false,use_existing_source
303113,1101100100111010101011001101111010100111,34,false,use_existing_source
303115,0001011111111101100011000001110100111001,34,false,use_existing_source
303117,0001101011001101000011101001011110110100,34,false,use_existing_source
303119,0001001010010100100110000000000000000000,34,false,use_existing_source
303121,1001001001010010100101000100000110011011,34,false,use_existing_source
303123,1101101010101010111111111110001001100110,34,false,use_existing_source
303125,0000001010101110001110101010100110111010,34,false,use_existing_source
303127,0010000100011011000011111011101010010000,34,false,use_existing_source
303129,1001001011001010001100100001010100100010,34,false,use_existing_source
303131,0000010001001111000110111010010100111100,34,false,use_existing_source
303133,1011010100100101110011010000100100001111,34,false,use_existing_source
303135,1100101010001110000101001000011010000011,34,false,use_existing_source
303137,0110110011101111001000101100001001101101,34,false,use_existing_source
303139,0100011000001101000100001100101000001110,34,false,use_existing_source
303141,1011011000000110000011110100010011110010,34,false,use_existing_source
303143,0010001110101111101100111111011000000010,34,false,use_existing_source
303145,1110111010010111011000101001001011000011,34,false,use_existing_source
303147,1110110110101001101101010111111011110001,34,false,use_existing_source
303149,0110110000010001011111000000000000000000,34,false,use_existing_source
303151,1001001010001110110011100100100011100010,34,false,use_existing_source
303153,1101101110000111100100001100001101011111,34,false,use_existing_source
303155,1101110100010110010000100000110100100110,34,false,use_existing_source
303157,0010110000001011000011110010010010100100,34,false,use_existing_source
303159,1101110111011101111001010110101000011011,34,false,use_existing_source
303161,1011000100001111010000110110111011111100,34,false,use_existing_source
303163,1111011101100101001110100010001011000011,34,false,use_existing_source
303165,1101011001101011111011110010000110001010,34,false,use_existing_source
303167,1010011100010101000010010000111100111011,34,false,use_existing_source
303169,0101001100010110000100101011000011011100,34,false,use_existing_source
303171,0010011100011011110011111010110011101110,34,false,use_existing_source
303173,0110011100101100001110101010011110010010,34,false,use_existing_source
303175,1110010100011001010001001111111111100011,34,false,use_existing_source
303177,1011100000011001011110011111010000011010,34,false,use_existing_source
303179,1101101011110111101111110000000000000000,34,false,use_existing_source
303181,1001001011010001111110000101000010001101,34,false,use_existing_source
303183,1101110001011110110100100001010001101001,34,false,use_existing_source
303185,0000110100000111101011000101010001101100,34,false,use_existing_source
303187,1110000100011011000011111100111110010101,34,false,use_existing_source
303189,1110101111010111000110100100000000100010,34,false,use_existing_source
303191,1101011001001111100010100010000100111111,34,false,use_existing_source
303193,1001010110000100011011100000100100001111,34,false,use_existing_source
303195,1111110001001110011110100100111110100101,34,false,use_existing_source
303197,1001100111011101001000101100010001101011,34,false,use_existing_source
303199,1111100111101000100011010001000010101101,34,false,use_existing_source
303201,1010000100000110000011111100110110111101,34,false,use_existing_source
303203,1111000101001100000001100111000110101100,34,false,use_existing_source
303205,1100001001011001000100100100110100000001,34,false,use_existing_source
303207,1100010101011100101101011001010111110011,34,false,use_existing_source
303209,0111111010111000110101000000000000000000,34,false,use_existing_source
303211,1001001010111101110011101010000110010010,34,false,use_existing_source
303213,1101000010100011000010010100010110000011,34,false,use_existing_source
303215,0111000111101111110100100000010101111110,34,false,use_existing_source
303217,0111101100001011000011110010010000011110,34,false,use_existing_source
303219,1001010010011110111000000001001100011011,34,false,use_existing_source
303221,0100111100001111010010010110101010101111,34,false,use_existing_source
303223,1010001000010010100000110010001011000101,34,false,use_existing_source
303225,0000100100000100010011110001100000001000,34,false,use_existing_source
303227,0001010101001110000010010000111111111011,34,false,use_existing_source
303229,1100011101110000101011000111111001111100,34,false,use_existing_source
303231,1001001100011011110011111000100101000111,34,false,use_existing_source
303233,0001110111001110011100100110110101010100,34,false,use_existing_source
303235,0100100011101111100000000001001010101001,34,false,use_existing_source
303237,1101110101110001101110100111001001000110,34,false,use_existing_source
303239,0000000100111010110111000000000000000000,34,false,use_existing_source
303241,1001001011011001000101110011001010001101,34,false,use_existing_source
303243,1101000101101110011100101000011000001000,34,false,use_existing_source
303245,0110110111010110010011111101010011000111,34,false,use_existing_source
303247,1001010000011011000011110000100000000001,34,false,use_existing_source
303249,1111100101010001011000000010000000100010,34,false,use_existing_source
303251,1100011001001111110100100111101000000100,34,false,use_existing_source
303253,0011100011110011101000110000100100001111,34,false,use_existing_source
303255,0001111110001011011101100111100110100111,34,false,use_existing_source
303257,1101001100111011001000101100011011000101,34,false,use_existing_source
303259,0111110110101011101101110111100101000111,34,false,use_existing_source
303261,1100011000000110000011111101000110111010,34,false,use_existing_source
303263,1100000110000111101101101100000100011111,34,false,use_existing_source
303265,0010010111010011101110110100011001110011,34,false,use_existing_source
303267,1101100100000010000001111110011011110101,34,false,use_existing_source
303269,0111000011001011001011010000000000000000,34,false,use_existing_source
303271,1001001001100010110101010110010101100101,34,false,use_existing_source
303273,1101001001011000101110001010011101100100,34,false,use_existing_source
303275,0001010110100100010111101100101100000110,34,false,use_existing_source
303277,0010011100001011000011111011011011001011,34,false,use_existing_source
303279,0010111100101100011100001001100100011011,34,false,use_existing_source
303281,1101110100001111000100000001000000101110,34,false,use_existing_source
303283,1110010011010011011011010010001011000111,34,false,use_existing_source
303285,0001001101010010101001100010010011100010,34,false,use_existing_source
303287,1001001101111010000010010000111110010001,34,false,use_existing_source
303289,0110101000100000011100000010010001100101,34,false,use_existing_source
303291,1010111100011011110011111000010110000010,34,false,use_existing_source
303293,1101111011011101101100111010110011000011,34,false,use_existing_source
303295,0010100000100111100000100011111011111001,34,false,use_existing_source
303297,0000000101000010110110100101111111100010,34,false,use_existing_source
303299,0111101111100011111011110000000000000000,34,false,use_existing_source
303301,1001001011011111110111010110001100111010,34,false,use_existing_source
303303,1101001101101101101101010001100010000110,34,false,use_existing_source
303305,1111000010011010110010111001010010110011,34,false,use_existing_source
303307,0111010000011011000011111110000110010010,34,false,use_existing_source
303309,0100110111110000111101001101111100100010,34,false,use_existing_source
303311,0100001001001111000010100011110111101010,34,false,use_existing_source
303313,1000000110101010100111100000100100001111,34,false,use_existing_source
303315,1001110010010010111110000010010000100110,34,false,use_existing_source
303317,1110010010111100001000101100100000101011,34,false,use_existing_source
303319,0000111001000110011111010001001000001010,34,false,use_existing_source
303321,0011101000000110000011111000001010010011,34,false,use_existing_source
303323,0000110001100110010000010110011000101101,34,false,use_existing_source
303325,1101101011111001111010000000011000111111,34,false,use_existing_source
303327,0001111010111001001110010011111000000010,34,false,use_existing_source
303329,1100101001111101000101000000000000000000,34,false,use_existing_source
303331,1001001000100101001011011001000101001011,34,false,use_existing_source
303333,1101010010101100111100100101100110000011,34,false,use_existing_source
303335,0011111111010001000100010100111010001010,34,false,use_existing_source
303337,0111101000001011000011111011011001011001,34,false,use_existing_source
303339,0100111011000110110111000001011000011011,34,false,use_existing_source
303341,1010011000001111011111101100111000101110,34,false,use_existing_source
303343,0111111011101110010111100010001011001001,34,false,use_existing_source
303345,0001001111110110100110110010110100100101,34,false,use_existing_source
303347,0100111010101001000010010000111100010000,34,false,use_existing_source
303349,0111101010000010110101100011101010011010,34,false,use_existing_source
303351,1010011100011011110011110111001010110101,34,false,use_existing_source
303353,0001010010001011001100110110110111111101,34,false,use_existing_source
303355,1100000101111001011001000011001000100000,34,false,use_existing_source
303357,1110100000011111011110001110101010100100,34,false,use_existing_source
303359,0100001101011110110010100000000000000000,34,false,use_existing_source
303361,1001001011001111011000001101101000110100,34,false,use_existing_source
303363,1101010111011000101110011000101011111110,34,false,use_existing_source
303365,1101111011111100100111001111000011110111,34,false,use_existing_source
303367,0111001100011011000011110011101101010100,34,false,use_existing_source
303369,1101001001001101110110000110010000100010,34,false,use_existing_source
303371,0000100101001111001000000111011000110001,34,false,use_existing_source
303373,1110010001000000100100010000100100001111,34,false,use_existing_source
303375,1100010100010000011000010100011001101100,34,false,use_existing_source
303377,1011110001000011001000101100101010110010,34,false,use_existing_source
303379,1101110010010000010011100000011111100000,34,false,use_existing_source
303381,0011010000000110000011110010100000101101,34,false,use_existing_source
303383,1100110101010110001100110110000001010001,34,false,use_existing_source
303385,0001000100011110110010001110001100101111,34,false,use_existing_source
303387,0111111111111110110110111111100111001000,34,false,use_existing_source
303389,0010111110100111111110100000000000000000,34,false,use_existing_source
303391,1001001001010111001100101000110010001000,34,false,use_existing_source
303393,1101011010011011111111101001101110001111,34,false,use_existing_source
303395,1110010011011011111001010000111101001110,34,false,use_existing_source
303397,0000111100001011000011110000001010100101,34,false,use_existing_source
303399,1101000000110010110110101100100100011011,34,false,use_existing_source
303401,1000101100001111011100100111101011111001,34,false,use_existing_source
303403,0001000101011101001011000010001011001011,34,false,use_existing_source
303405,0000000001110101011011100101110000000011,34,false,use_existing_source
303407,0000100100001101000010010000111101110111,34,false,use_existing_source
303409,1001100100000100011001100001101001011011,34,false,use_existing_source
303411,0111101000011011110011110110001111011100,34,false,use_existing_source
303413,1101001010000000001000000000011001010111,34,false,use_existing_source
303415,1011001100011100001101111000010100001000,34,false,use_existing_source
303417,0010100100110010100111011010011111000010,34,false,use_existing_source
303419,0001110110001101000111110000000000000000,34,false,use_existing_source
303421,1001001011010010001111110011110000011000,34,false,use_existing_source
303423,1101011110010000000011001011110010001010,34,false,use_existing_source
303425,0011101010111100001100110101011110101100,34,false,use_existing_source
303427,0010110000011011000011111111110100011010,34,false,use_existing_source
303429,1111001000000011011111011001101000100010,34,false,use_existing_source
303431,1001100101001111100011001011111110001001,34,false,use_existing_source
303433,0100001111101001110010110000100100001111,34,false,use_existing_source
303435,1111100101010011001011010111010000011000,34,false,use_existing_source
303437,1000010001101000001000101100110010101110,34,false,use_existing_source
303439,1101111001001100100100111110111110111010,34,false,use_existing_source
303441,0011011000000110000011111011001001010111,34,false,use_existing_source
303443,0110100110001110010101010101011001111101,34,false,use_existing_source
303445,1110011011011101001011111011001010100110,34,false,use_existing_source
303447,1101101001111001001001101010111110101001,34,false,use_existing_source
303449,0101010100110101000110000000000000000000,34,false,use_existing_source
303451,1001001010110110011101011010010101100010,34,false,use_existing_source
303453,1011001000100011110100110001110110001011,34,false,use_existing_source
303455,0010100111110111110111110101101111001110,34,false,use_existing_source
303457,1001111000001011000011111111011100100101,34,false,use_existing_source
303459,1110111011110111010011011111101000011011,34,false,use_existing_source
303461,0011011100001111001011101101010011010011,34,false,use_existing_source
303463,0100101001000110110111100010001011001101,34,false,use_existing_source
303465,1100101100110101011010001011011001100000,34,false,use_existing_source
303467,0011010100000111000010010000111110101100,34,false,use_existing_source
303469,1110111101010101001011100011011111011101,34,false,use_existing_source
303471,0001111000011011110011111101110011010101,34,false,use_existing_source
303473,0101100101111000010100001010101101011110,34,false,use_existing_source
303475,0011110010001101011111000011010111010010,34,false,use_existing_source
303477,1000011101101000000101101110110010111001,34,false,use_existing_source
303479,0001001100010101010000100000000000000000,34,false,use_existing_source
303481,1001001010110110001001110111010110100011,34,false,use_existing_source
303483,1011001111010100011100000101111000101000,34,false,use_existing_source
303485,1110001110100000001100010110111001011001,34,false,use_existing_source
303487,0011010000011011000011110000100100100110,34,false,use_existing_source
303489,1010000100111001010110001110011100100010,34,false,use_existing_source
303491,1100011001001111100110110001011010101011,34,false,use_existing_source
303493,0111100100001011110010010000100100001111,34,false,use_existing_source
303495,0000100001110011101111100100101100000000,34,false,use_existing_source
303497,0010000100010110001000101100111001011001,34,false,use_existing_source
303499,0001110100101110110100001001001010110110,34,false,use_existing_source
303501,0010001100000110000011111010011000101100,34,false,use_existing_source
303503,1101110011110001001010110010100010101000,34,false,use_existing_source
303505,1011101000101110110001111011111110111111,34,false,use_existing_source
303507,1000110001111111011100101110100111101110,34,false,use_existing_source
303509,1001011111011001011101000000000000000000,34,false,use_existing_source
303511,1001001011110111101110110010001100010110,34,false,use_existing_source
